Name		Grade	Moons	Type	ATK	HP	Card Type	Skill/Effect
Kaiju - Ayre		S	0	Fire/Kaiju	3300	5000	Fusion	(FM: 3 "Kaiju" Monsters, except "Eutherian - Kaiju Guardian", "Yoshino - Kaiju Theory", or "Akira - Ayre's Study Guide") Once per turn, you can discard 1 card to summon 1 Grade-C or below Kaiju monster from your hand.
Best Girl Ayre		S	0	Fire/Kaiju	1800	5800	Fusion	(FM: 3 "Kaiju" Monsters, including "Eutherian - Kaiju Guardian", "Yoshino - Kaiju Theory", or "Akira - Ayre's Study Guide") When this card is summoned, tutor 1 "Kaiju" card.  Once per turn after the turn this card was summoned, you can discard 2 cards and tutor 1 "Kaiju" card.
Term - Computation Kaiju		B	5	Tech/Kaiju	2200	3400	Monster	Once per turn, you can roll 1d6 and call it. If called right, this turn the player with less cards on the field can only play the leftmost card in their hand and cannot reorder their hand, and the player with more cards on the field can only play the rightmost card in their hand and cannot reorder their hand If both players have an equal number of cards on the field, both players can only play the leftmost card in their hand and cannot reorder their hand. If you have less cards on the field, any cards added to the hand are added to the rightmost side of the hand, else any cards added to the hand are added to the leftmost side of the hand.
Australis - Antarctic Kaiju		B	5	Ice/Kaiju	2100	3700	Monster	Once per turn, you may summon a Normal Kaiju monster from your hand and discard cards based on grade (F-C: 1, B-A: 2, S-X: 3)
Borealis - Arctic Kaiju		B	5	Ice/Kaiju	1900	3600	Monster	Once per turn, you can pay 7 moons to put a Northern Counter on a Kaiju monster. Any monster with a "Once per turn [, you can]" effect, while it has the Northern Counter, can treat the effect as "Twice per turn [, you can]". Any monster with a "Once every other turn [, you can]" effect, while it has the Northern Counter, can treat the effect as "Once per turn [, you can]". Any monster with a "Once every [X] turns [, you can]" effect, while it has the Northern Counter, can treat the effect as "Once every [(X/2) rounded up] turns [, you can]". All Northern Counters are destroyed when this card leaves the field.
Yoshino - Kaiju Theory		A	2	Deity/Kaiju	1400	4000	Sacrifice	Once per turn, you can activate one of these effects: "Discard 1 card. Choose 1 Kaiju Monster. Its effect enters this monster's queue. This effect is active until this card leaves the field. If a new monster is chosen by this effect while this monster's queue is filled, clear this monster's queue and the selected monster's effect enters this monster's queue.", "Pay 5 moons. Choose 1 Kaiju Monster. That monster's effect is now the effect in this monster's queue, and this monster's queue is cleared. If there was no effect, this effect does nothing. This effect is active until this card leaves the field.", "Discard 1 card. Choose 2 Kaiju Monsters. Their effects are switched. This effect is active until this card leaves the field."
Eutherian - Kaiju Guardian		C	4	Water/Kaiju	1600	3000	Monster	Once per turn, if a Kaiju monster would be destroyed, you can sacrifice this card instead. If this card is sent to the graveyard by this effect, you can revive it in 3 turns.
Eutherian Magic		B	2	Cantrip	N/A	N/A	Cantrip	If a Kaiju monster would be destroyed by card effect, you can discard 1 card instead. This card is always treated as a "Kaiju" card.
Akira - Ayre's Study Guide		C	4	Ice/Kaiju	1700	3400	Monster	When this card is summoned, place 1 Study Counter on this card. Once per turn, you can subtract 1 Study Counter to tutor 1 Kaiju monster, or pay 6 moons and place 1 Study Counter on this card.
Matilda - Newborn Kaiju		D	1	Demon/Kaiju	800	1400	Monster	{ "What do you mean Ayre's a father now?" }
Sytharax - Kaiju Hellborne		B	5	Demon/Kaiju	2500	3700	Monster	{ "I think Ayre will appreciate Syth doing the surrogate work once we tell her." }
Gabriel - Kaiju From Heaven		C	4	Seraphim/Kaiju	1600	2900	Monster	Once per turn, if your debt is positive, decrease it by 1.
Lattice - Architect Kaiju		C	5	Earth/Kaiju	1800	3100	Monster	Once per turn, you can pay 2 moons and unlock one of your zones.
Raiko - Kaiju of Sparks		D	1	Fire/Kaiju	600	1500	Monster	{ "You'll be big and strong one day, Raiko." }
Sylath - Slime Kaiju		F	1	Water/Kaiju	400	600	Monster	{ "Oh yea, that's Sytharax's ki- REASON STOP STEALING MY WALLET GET BACK HERE" }
Bausha Vortex		C	4	Instant	N/A	N/A	Assist	You and your opponent choose 4 of each other's zones. Those zones belong to the selector until the end of the turn, and if a filled zone is chosen, the card in that zone will move to one of its controller's zones. If there is no zone to move to, that card is destroyed. Any monster still on a selected zone at the end of the turn is destroyed.
Soundsystem, Breathe!		C	3	Cantrip	N/A	N/A	Cantrip	If an opponent destroys a monster via card effect, select 1 monster. That monster becomes 1000/1000.
A Bizarre Phantasm		B	4	Instant	N/A	N/A	Assist	Select 1 monster from either graveyard. Summon a 0/0, 0-moon, Magic-Type "Bizarre Phantasm" Token with the effect of the monster you chose. This token removes itself from play in the End Phase.
Zone Eater		C	5	Earth	1800	2500	Monster	Once per turn, you can give up this card's attack, pay 2 moons, and select a zone and lock it until this card leaves the field.
Series of Sinkholes		B	4	Trap	N/A	N/A	Trap	You and your opponent choose any 3 of your own zones. Destroy any card in any of those zones, and lock those zones for five turns.
Joe		F	0	Earth	100	200	Monster	{ Joe is just some guy. } (Wire 5) If this card is still on the field 16 turns after its summon, sacrifice this card and summon 1 monster from your deck, hand, or graveyard, ignoring summoning conditions. If necessary, unlock 1 zone for the purposes of summoning the monster.
Meg		F	0	Earth	200	400	Monster	{ Meg has friends. } (Wire 5) If this card is still on the field 24 turns after its summon, unlock all of your zones and summon as many Grade-B or lower monsters from your deck as possible, ignoring summoning conditions.
Bob		F	0	Earth	200	800	Monster	{ Bob’s workin’ on buying a tank someday. } (Wire 5) If this card is still on the field 30 turns after its summon, you win the game.
Ashley		F	0	Earth	100	1000	Monster	{ Ashley’s studying googology. } (Wire 5) If this card is still on the field 24 turns after its summon, sacrifice it and draw 11.
Balter, God of Flesh		A	6	Deity	2700	3600	Monster	(Wire 5) If you have "Joe", "Meg", "Bob", and "Ashley" on your side of the field, you may sacrifice them to win the game.
Solomon		B	5	Demon	2300	3300	Monster	{ Still the best, 1973. }
Sugoroku		B	5	Demon	3300	2300	Monster	{ Became the best, 1996. }
Remains of Mei-Juu		C	11	Instant	N/A	N/A	Assist	Gain 12 moons.
Kazeme's Blessing		C	0	Instant	N/A	N/A	Assist	Gain 1 moon.
Loan From The Bank		A	0	Instant	N/A	N/A	Assist	Discard as many cards as you want, and gain 2 moons for each card discarded.
Vampire's Haven		A	9	Arena	N/A	N/A	Arena	When this card is placed, gain 9 moons. Once per turn, you can pay 1200 LP to gain 2 moons.
Dark Balter's Cave		A	0	Arena	N/A	N/A	Arena	Once per turn, you can pay 1500 LP to gain 2 moons.
Toes Hoo Noes		C	5	Instant	N/A	N/A	Assist	Both players look at each other's hands.
Flamebound Wanderer		D	2	Fire	1000	1900	Monster	{ A flame manipulator who is learning his craft by working under the King of Hell. }
Ryuki		D	1	Demon	700	1400	Monster	{ A small fire monster that acts as Belphegor's pet. Belphegor loves him deeply. }
Ash Dragon		D	1	Fire/Earth	800	1200	Monster	{ A dragon created from the burning of humans thousands of years ago. }
Kalaider		D	2	Light	400	1800	Monster	{ A sentient tempered glass prism. }
The Heart		F	1	Earth	200	800	Monster	{ A magical being split into 6 parts. }
Critical Hit		D	1	Cantrip	N/A	N/A	Cantrip	Roll 1d20 and call it. If called right, select 1 monster. That monster's ATK is doubled.
Parameterization		D	2	Seraphim	1000	1800	Monster	{ He wants his 50 bucks. }
Fifty Bucks		D	1	Earth	500	1200	Monster	{ "If found, return to Parameterization via the Seraphim Hotline. Thank you!" }
Joint Repair Dome		D	2	Earth	0	2500	Monster	{ "Grandpa, you're supposed to put it on your knees! That way, your arthiritis will get better!" }
Eight Legged Menace		D	2	Fire	900	1700	Monster	{ A big softie with 7 legs. Belphegor takes care of her. }
White Hole		F	0	Trap	N/A	N/A	Trap	Roll 2d20. If both die land on 20, your opponent removes from play their hand and field.
Black Hole		F	0	Trap	N/A	N/A	Trap	Roll 2d20. If both die land on 20, your opponent removes from play their deck.
Trypo Coral		F	0	Water	100	500	Monster	{ "Daddy?" "Yes, dear?" "That thing is scary." "It's okay sweetie, just fly past it. Do you wanna go see mama instead?" "Yes! Yaaaaaay!" - Matilda and Ayre }
Phantasmic Stalker		F	1	Dark	400	600	Monster	{ "I used to be a cashier, you know." }
Wraith		F	1	Dark	300	1000	Monster	{ "You see that guy over there? He used to be a cashier. Imagine. I was a cart pusher, a much more dignified job than whatever he did." }
Crawler		F	0	Water	200	300	Monster	{ A hedgehog that crawls on the ocean floor. I don't think he breathes. }
Genetic Uranium		F	1	Water	600	900	Monster	{ A blob of uranium made sentient by the powers of a captive Actinide Dragon and irresponsible decisions from alchemists. }
Snail Crawler		F	0	Water	200	300	Monster	{ A crawler was infected with a rare disease found in infected Trypo Coral, causing it to produce copious amounts of slime and eventually become consumed by it, turning into a different creature. }
Armored Shrimp		F	0	Water	400	500	Monster	{ Another result of the rare Trypo Coral disease, making the shrimp's shell hyper-hard, similar to steel, and enlarging it such that the shrimp is able to move with its steel-like shell. }
Bird Caller		D	2	Air	900	1700	Monster	{ "Why is Gandorah's rent so high?" }
Alone		D	1	Earth	700	1000	Monster	{ "Bro, stop being emo. We know you just trolling. Come on, let's go play Mythos or something." "Alright, alright, you got me. Let me get my deck first." }
Gradian		D	2	Tech	1000	1600	Monster	{ An ancient spacecraft from back when humans attempted to visit Neptune. }
Actinide Dragon		A	6	Fire	2300	3600	Monster	When this card is summoned, roll 1d4. Both players pick half that many monsters on their side of the field rounded up and destroy them.
Elderdragon		A	7	Ice	2700	4000	Monster	{ A dragon that has lived for hundreds of thousands of years and shows no sign of dying. }
Zenith Dragon		S	0	Ice	2900	4000	Fusion	(FM; 2 "Dragon" monsters) When this card is summoned, both players select a monster on their side of the field. Those monsters are destroyed. All other "Dragon" monsters gain 600 ATK.
Breaker - The North		S	8	Ice	3300	5700	Monster	Once per turn, instead of attacking, this card can select 1 monster. That monster cannot attack or use effects next turn.
Radiance		SS	3	Seraphim	0	0	Sacrifice	Cannot be destroyed by battle, and you take no overshoot damage from battles involving this card. This card can be used as 3 sacrifices for a Sacrifice monster.
Truthseeker		SS	3	Seraphim	0	0	Sacrifice	If this card declares an attack, it attacks 4 times instead of once, but only damages the defending monster on the fourth attack. This card gains 300 ATK for each time it attacks. Cannot be destroyed by battle and you take no overshoot damage from battles involving this card.
Sakupen		S	8	Demon	3000	5600	Monster	{ A high-ranking demon monster in Belphegor's court. He is friends with both Belphegor and Rigamortis, and participated in the Demon Revolution. }
The One Who Sees All		S	7	Deity	0	0	Monster	Once per turn, during your opponent's Draw Phase, flip a coin. If heads, your opponent must reveal the card they drew. Cannot be destroyed by battle, and you take no overshoot damage from battles involving this card.
Spirit Of The Wicked Avatar		S	8	Deity	0	0	Monster	Cannot be destroyed by battle, and you take no overshoot damage from battles involving this card. Once every other turn, you can destroy 1 card on the field. If you do, you take overshoot damage from battles involving this card for 2 turns.
End of Time		A	4	Instant	N/A	N/A	Assist 	Destroy all monsters.
Flawless Wings of Yata-Garasu		A	4	Cantrip	N/A	N/A	Cantrip	If this card is activated in response to another card, negate and destroy that card. Else, you discard 1 card and your opponent discards 2.
Magnificent Eyes of Gyokuto		A	4	Cantrip	N/A	N/A	Cantrip	Select 3 cards in your opponent's hand and look at them.
Radiance of Amaterasu		A	4	Cantrip	N/A	N/A	Cantrip	Destroy 1 monster you control.
Pale Glow of Tsukuyomi		A	4	Cantrip	N/A	N/A	Cantrip	Destroy 1 monster your opponent controls.
Rick's Car		C	1	Instant	N/A	N/A	Assist	Tutor "Rick".
Rick 		B	5	Earth	2000	2300	Monster	{ Rick is Joe's friend. He has a profession in alchemy. }
Discount		B	0	Instant	N/A	N/A	Assist	Discard 1 card and choose 1 card that has a moon cost for its summon or activation; reduce that cost by 2.
Silver Bullet		A	4	Cantrip	N/A	N/A	Cantrip	(Wire 5) This card can be played during your opponent's response window. Draw 0 cards.
Butterfly Effect		C	1	Instant	N/A	N/A	Assist	Add 2 to a Butterfly Variable. Once per turn, you can subtract 1 from that variable to decrease a card's cost by 1.
Soul Consumer		SS	X	Seraphim	0	0	Sacrifice	When this card is summoned, pay 2 moons. Cannot be destroyed by battle, and you take no overshoot damage from battles involving this card. This card can be used as X sacrifices for a Sacrifice monster, where X is the number of monsters you sacrificed to summon this card.
Satan		SS	3	Demon/Deity	0	0	Sacrifice	{ (On call) "Yo, Satan, where the hell are you? You're supposed to be clocked in, man." "Says who?" "Hmmmmmmmm I dunno, the GOD OF THE END OF TIME, OUR BOSS!?" "Well yea but I'm like, taking walks and s-" "YOU'RE A GOD OF HELL SATAN" - Red and Satan, 2310 } Cannot be destroyed by battle, and takes no overshoot damage in battles involving this card. This card gains 10 counters when summoned. When this card is attacked, subtract 1 counter from this card. When this card has 0 counters, sacrifice it. Twice per turn, you can pay 3 moons to add 1 counter to this card. This card can be used as any number of sacrifices for the summon of a Demon monster.
